ASN,Name,T1,Count,174,701,1299,2914,3257,3320,3356,3491,5511,6453,6461,6762,6830,6939,7018,12956,1273,2635,4637,7195,7473,9002,9498,12389,13335,13786,14840,20473,23911,24482,35280,36236,37468,37721,38255,39120,49544,52320,57463,64289,199524
174,Cogent,True,29,X,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,True,True
701,Verizon,True,18,True,X,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1299,Telia,True,33,True,True,X,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,False,True,True
2914,NTT,True,32,True,True,True,X,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,True
3257,GTT,True,30,True,True,True,True,X,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,True,False,True,False,True,False,True,True
3320,DTAG,True,23,True,True,True,True,True,X,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True
3356,Lumen,True,35,True,True,True,True,True,True,X,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True
3491,PCCW,True,30,True,True,True,True,True,True,True,X,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,False,False,True,True
5511,Orange,True,24,True,True,True,True,True,True,True,True,X,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True
6453,Tata,True,27,True,True,True,True,True,True,True,True,True,X,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True
6461,Zayo,True,29,True,True,True,True,True,True,True,True,True,True,X,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,False
6762,TI Sparkle,True,27,True,True,True,True,True,True,True,True,True,True,True,X,True,True,True,True,True,False,True,False,False,True,True,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True
6830,Liberty Global,True,24,True,True,True,True,True,True,True,True,True,True,True,True,X,True,True,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True
6939,Hurricane Electric,True,39,True,True,True,True,True,True,True,True,True,True,True,True,True,X,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
7018,AT&T,True,16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,X,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12956,Telxius,True,26,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,X,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,True
1273,Vodafone,False,24,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,X,False,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
4637,Telstra,False,24,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,X,False,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
7473,SingTel,False,17,False,False,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,True,False,X,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
9002,RETN,False,35,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,X,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
9498,Bharti Airtel,False,29,True,False,True,True,True,False,True,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,X,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True
13786,Seaborn,False,19,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,X,True,True,False,True,True,True,True,False,False,False,True,True,True,False,True
14840,BR DIGITAL,False,22,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,True,True,False,True,True,X,True,False,True,True,True,True,True,False,True,True,False,False,True,True
20473,Constant Company,False,12,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,X,False,True,True,True,False,False,False,False,True,False,False,False,True
24482,SG.GS,False,26,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,X,True,True,True,True,False,True,True,True,True,True,True
35280,F5 Networks,False,30,False,False,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,X,True,True,True,False,True,True,True,True,True,True
36236,Net Actuate,False,31,True,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,X,True,True,False,True,True,True,True,True,True
37468,Angola Cables,False,25,True,False,True,True,True,False,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,X,True,False,True,True,False,True,True,True
37721,VT&S,False,33,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,X,False,True,True,True,True,True,True
39120,Convergenze,False,27,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,X,True,True,True,True,True
49544,i3D.net,False,32,False,False,True,True,False,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,X,True,True,True,True
52320,GlobeNet,False,26,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,X,True,True,True
64289,Macarne,False,26,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,False,True,True,False,True,X,True
199524,G-Core,False,34,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,X
